timestamp,open,low,high,close,volume
2020-01-06,6720,6690,6750,6735,27300000
2020-01-07,6735,6730,6770,6740,45022500
2020-01-08,6670,6670,6745,6680,53692500
2020-01-09,6740,6730,6755,6740,40363500
2020-01-10,6765,6710,6825,6725,73362000
2020-01-13,6740,6735,6760,6745,67855000
2020-01-14,6745,6740,6885,6870,93582000
2020-01-15,6870,6800,7060,6835,75623500
2020-01-16,6805,6795,6890,6850,88931500
2020-01-17,6840,6800,6890,6875,38249500
2020-01-20,6950,6830,6975,6835,93554500
2020-01-21,6885,6825,6895,6830,103984500
2020-01-22,6855,6835,6895,6840,94311500
2020-01-23,6885,6830,6895,6840,87728000
2020-01-24,6820,6810,6880,6810,69653500
2020-01-27,6865,6815,6940,6840,39679000
2020-01-28,6835,6755,6845,6790,82615000
2020-01-29,6800,6770,6845,6785,43821000
2020-01-30,6845,6730,6845,6740,71990000
2020-01-31,6800,6480,6805,6480,163136500
2020-02-03,6480,6370,6585,6440,149797000
2020-02-04,6570,6520,6620,6600,113316500
2020-02-05,6780,6650,6780,6730,123002500
2020-02-06,6740,6680,6780,6740,154693500
2020-02-07,6710,6705,6780,6760,82609000
2020-02-10,6760,6630,6785,6785,66578500
2020-02-11,6785,6745,6785,6780,77526500
2020-02-12,6800,6760,6800,6800,69971500
2020-02-13,6820,6740,6820,6790,49737000
2020-02-14,6780,6675,6795,6680,147028500
2020-02-17,6680,6680,6750,6720,115319000
2020-02-18,6685,6670,6720,6695,98436500
2020-02-19,6665,6665,6760,6695,74594000
2020-02-20,6690,6565,6695,6595,136724500
2020-02-21,6600,6595,6660,6615,98261000
2020-02-24,6565,6510,6600,6525,84910000
2020-02-25,6550,6510,6560,6530,86446500
2020-02-26,6500,6420,6535,6420,92824500
2020-02-27,6470,6200,6475,6290,129254500
2020-02-28,6200,6035,6290,6290,169946500
2020-03-02,6290,6035,6290,6080,144871500
2020-03-03,6200,6200,6350,6320,114663500
2020-03-04,6315,6260,6500,6440,83025000
2020-03-05,6540,6340,6540,6435,77583000
2020-03-06,6350,6200,6350,6200,77835500
2020-03-09,6000,5785,6040,5785,140889500
2020-03-10,5840,5840,6010,5925,133667000
2020-03-11,5950,5790,5980,5850,93204500
2020-03-12,5600,5460,5640,5560,129845500
2020-03-13,5560,5560,5560,5560,0
2020-03-16,5560,5560,5560,5560,0
2020-03-17,5495,5120,5505,5120,212200000
2020-03-18,5120,4765,5380,5000,180053500
2020-03-19,4995,4650,4995,4650,264419000
2020-03-20,4600,4325,5385,4735,335132000
2020-03-23,4760,4405,5000,4430,217843500
2020-03-24,4450,4450,4995,4500,253971000
2020-03-25,4450,4450,4995,4500,0
2020-03-26,4650,4650,5395,5280,331633000
2020-03-27,5360,5355,5895,5510,269683000
2020-03-30,5480,5155,5555,5495,159964500
2020-03-31,5660,5485,5710,5525,182638500
2020-04-01,5560,5425,5750,5480,152831500
2020-04-02,5470,5360,5470,5410,136623500
2020-04-03,5460,5365,5530,5495,110506000
2020-04-06,5520,5495,5740,5735,78184000
2020-04-07,5735,5580,6100,5655,149153500
2020-04-08,5655,5480,5660,5635,106111500
2020-04-09,5600,5500,5695,5595,89997000
2020-04-10,5600,5500,5695,5595,0
2020-04-13,5540,5480,5615,5500,58043000
2020-04-14,5505,5445,5590,5515,95796000
2020-04-15,5515,5445,5630,5485,95342000
2020-04-16,5485,5185,5520,5240,176990500
2020-04-17,5300,5280,5445,5425,160935500
2020-04-20,5430,5330,5500,5355,90744000
2020-04-21,5355,5160,5355,5160,73431000
2020-04-22,5160,5045,5235,5145,107263500
2020-04-23,5180,5120,5245,5120,105419500
2020-04-24,5120,4920,5140,4920,131149500
2020-04-27,4940,4855,5020,4960,151103500
2020-04-28,4960,4805,4975,4830,180488000
2020-04-29,4825,4800,4850,4850,121161000
2020-04-30,4880,4880,5250,5170,174081000
2020-05-01,4880,4880,5250,5170,0
2020-05-04,5150,5000,5300,5220,114497500
2020-05-05,5220,5200,5340,5285,118643500
2020-05-06,5315,5300,5370,5355,86395500
2020-05-07,5315,5300,5370,5355,0
2020-05-08,5345,5150,5400,5245,123028000
2020-05-11,5245,5245,5325,5295,40615500
2020-05-12,5340,5030,5340,5220,118660000
2020-05-13,5160,5085,5170,5110,94973000
2020-05-14,5070,4905,5110,4920,131268000
2020-05-15,4920,4680,4995,4785,205790000
2020-05-18,4800,4750,4845,4765,139997500
2020-05-19,4840,4680,4960,4680,128504500
2020-05-20,4720,4690,4800,4765,119158000
2020-05-21,4720,4690,4800,4765,0
2020-05-22,4720,4690,4800,4765,0
2020-05-25,4720,4690,4800,4765,0
2020-05-26,4775,4775,5000,4970,176076500
2020-05-27,4970,4855,5000,4965,151753500
2020-05-28,5000,5000,5320,5295,229233000
2020-05-29,5295,5190,5295,5190,399414000
2020-06-01,5295,5190,5295,5190,0
2020-06-02,5260,5240,5500,5360,181369500
2020-06-03,5410,5400,5780,5780,279673500
2020-06-04,5780,5600,5990,5790,236158500
2020-06-05,5790,5585,5855,5725,88157500
2020-06-08,5755,5755,5925,5900,173557500
2020-06-09,5940,5795,5995,5805,100110000
2020-06-10,5800,5595,5865,5800,115382500
2020-06-11,5750,5605,5810,5680,85187500
2020-06-12,5680,5480,5680,5670,96044000
2020-06-15,5680,5500,5710,5500,100844500
2020-06-16,5580,5580,5795,5760,91518500
2020-06-17,5800,5680,5800,5720,79800000
2020-06-18,5720,5585,5740,5585,68032000
2020-06-19,5600,5545,5650,5575,110071000
2020-06-22,5595,5530,5660,5540,51590500
2020-06-23,5570,5520,5660,5620,69954000
2020-06-24,5650,5640,5760,5705,57333000
2020-06-25,5700,5640,5745,5725,51415000
2020-06-26,5720,5640,5760,5645,57467500
2020-06-29,5640,5585,5695,5675,48796500
2020-06-30,5700,5660,5740,5695,74474000
2020-07-01,5700,5675,5800,5800,63959000
2020-07-02,5775,5760,5870,5870,75585500
2020-07-03,5870,5840,5905,5870,52219000
2020-07-06,5860,5850,5935,5935,67800000
2020-07-07,5940,5900,5995,5990,74168000
2020-07-08,5990,5980,6265,6200,106444500
2020-07-09,6210,6030,6240,6100,93543500
2020-07-10,6100,6080,6240,6200,67224000
2020-07-13,6230,6140,6240,6175,86006000
2020-07-14,6175,6110,6200,6200,45616500
2020-07-15,6200,6150,6240,6150,61468000
2020-07-16,6150,6140,6200,6180,66520500
2020-07-17,6135,6040,6180,6120,73348000
2020-07-20,6120,6060,6160,6140,59794500
2020-07-21,6100,6100,6235,6200,84159500
2020-07-22,6210,6130,6250,6180,44725500
2020-07-23,6180,6140,6215,6200,84026500
2020-07-24,6200,6100,6200,6100,58366500
2020-07-27,6100,6000,6140,6100,41972500
2020-07-28,6120,6060,6200,6185,65279000
2020-07-29,6185,6100,6185,6135,50262500
2020-07-30,6135,6055,6240,6240,80533500
2020-07-31,6135,6055,6240,6240,0
2020-08-03,6220,5825,6235,6130,137079000
2020-08-04,6155,6130,6220,6210,79357000
2020-08-05,6200,6100,6220,6205,49393000
2020-08-06,6215,6185,6295,6260,55258500
2020-08-07,6265,6160,6285,6180,43621000
2020-08-10,6180,6105,6200,6120,37774500
2020-08-11,6140,6130,6200,6175,38795500
2020-08-12,6175,6160,6260,6260,35612000
2020-08-13,6260,6180,6300,6300,48581000
2020-08-14,6300,6240,6405,6405,57316000
2020-08-17,6300,6240,6405,6405,0
2020-08-18,6405,6300,6425,6360,81563500
2020-08-19,6360,6310,6410,6330,58793500
2020-08-20,6360,6310,6410,6330,0
2020-08-21,6360,6310,6410,6330,0
2020-08-24,6340,6280,6380,6315,66882500
2020-08-25,6320,6305,6380,6365,49211000
2020-08-26,6385,6305,6390,6340,42983000
2020-08-27,6365,6340,6600,6600,68326000
2020-08-28,6560,6425,6600,6495,52292500
2020-08-31,6500,6275,6540,6275,97032000
2020-09-01,6280,6240,6520,6520,67446000
2020-09-02,6520,6365,6560,6435,66065000
2020-09-03,6465,6300,6500,6500,68208500
2020-09-04,6450,6265,6450,6380,80613500
2020-09-07,6335,6200,6360,6285,64249500
2020-09-08,6285,6285,6360,6335,39649000
2020-09-09,6300,6210,6320,6245,49285000
2020-09-10,6220,5810,6220,5810,175735000
2020-09-11,5800,5620,5975,5905,403032500
2020-09-14,6000,5985,6115,6050,138115000
2020-09-15,6040,5860,6100,5860,170087000
2020-09-16,5860,5745,5870,5750,158565500
2020-09-17,5750,5665,5855,5755,138796000
2020-09-18,5700,5570,5735,5630,316912000
2020-09-21,5640,5595,5735,5605,112443000
2020-09-22,5520,5430,5565,5450,163442500
