timestamp,open,low,high,close,volume
2020-01-06,4360,4320,4390,4370,44225100
2020-01-07,4410,4380,4410,4400,103948100
2020-01-08,4380,4340,4400,4380,171751200
2020-01-09,4400,4370,4420,4400,72072000
2020-01-10,4430,4390,4430,4410,124809200
2020-01-13,4430,4420,4510,4510,111351400
2020-01-14,4540,4520,4600,4570,158414200
2020-01-15,4570,4530,4580,4580,102566700
2020-01-16,4570,4510,4590,4570,133986100
2020-01-17,4620,4600,4640,4630,121175500
2020-01-20,4690,4630,4690,4660,81837500
2020-01-21,4670,4640,4680,4670,73839600
2020-01-22,4680,4670,4710,4710,82370500
2020-01-23,4720,4690,4760,4740,139861200
2020-01-24,4730,4680,4750,4740,96017400
2020-01-27,4700,4640,4700,4650,93704600
2020-01-28,4580,4570,4640,4620,95394600
2020-01-29,4620,4600,4660,4620,194871800
2020-01-30,4700,4580,4700,4580,87726300
2020-01-31,4570,4460,4580,4460,137055500
2020-02-03,4460,4450,4490,4460,131584600
2020-02-04,4690,4520,4690,4560,112377400
2020-02-05,4570,4510,4580,4560,91267300
2020-02-06,4590,4530,4590,4550,94855500
2020-02-07,4580,4540,4580,4550,133042500
2020-02-10,4500,4400,4530,4500,170890600
2020-02-11,4540,4480,4540,4510,85150100
2020-02-12,4520,4520,4560,4530,130150400
2020-02-13,4580,4540,4590,4570,79710700
2020-02-14,4530,4530,4590,4550,127004900
2020-02-17,4480,4470,4540,4470,119759900
2020-02-18,4470,4400,4500,4400,88694500
2020-02-19,4460,4450,4480,4480,100810700
2020-02-20,4520,4510,4580,4560,98180400
2020-02-21,4560,4510,4560,4510,106960700
2020-02-24,4540,4470,4540,4490,102908000
2020-02-25,4460,4460,4550,4500,113929600
2020-02-26,4500,4470,4510,4480,149197600
2020-02-27,4380,4120,4380,4130,207157400
2020-02-28,3990,3910,4190,4190,191962700
2020-03-02,4190,3980,4200,3980,187659200
2020-03-03,4050,4000,4180,4100,198413400
2020-03-04,4140,4130,4240,4220,116305200
2020-03-05,4290,4130,4300,4150,133588200
2020-03-06,4040,4000,4050,4010,159391900
2020-03-09,3900,3750,3950,3750,149028700
2020-03-10,3780,3780,4030,3910,165975500
2020-03-11,3950,3880,4030,3910,177519900
2020-03-12,3820,3600,3840,3610,151940600
2020-03-13,3610,3360,3770,3720,268837000
2020-03-16,3750,3460,3750,3500,178420500
2020-03-17,3500,3260,3570,3260,208568600
2020-03-18,3270,3090,3440,3140,248104200
2020-03-19,3130,2930,3140,2930,137946900
2020-03-20,2930,2730,2970,2810,598363000
2020-03-23,2650,2620,2700,2620,164404600
2020-03-24,2580,2440,2750,2440,495129300
2020-03-25,2580,2440,2750,2440,0
2020-03-26,2500,2500,3000,2940,634588200
2020-03-27,3000,3000,3670,3230,480930500
2020-03-30,3150,3010,3150,3010,217509200
2020-03-31,3100,2970,3200,3020,314996600
2020-04-01,3010,2900,3080,2930,271743600
2020-04-02,2850,2800,2900,2870,299882400
2020-04-03,2930,2830,2950,2890,293146900
2020-04-06,2950,2910,3030,3020,285099900
2020-04-07,3100,2950,3240,3030,405389200
2020-04-08,3000,2820,3040,2820,292946600
2020-04-09,2860,2750,2910,2790,265787000
2020-04-10,2860,2750,2910,2790,0
2020-04-13,2790,2700,2840,2770,123731400
2020-04-14,2790,2770,2900,2900,219734000
2020-04-15,2900,2730,2990,2760,319095100
2020-04-16,2770,2580,2770,2610,367748800
2020-04-17,2670,2660,2840,2830,402325500
2020-04-20,2880,2760,2900,2780,222008500
