timestamp,open,low,high,close,volume
2020-01-06,3930,3930,3970,3960,42908900
2020-01-07,3930,3920,3970,3940,51837600
2020-01-08,3920,3900,3950,3900,52402600
2020-01-09,3920,3920,3970,3960,37580300
2020-01-10,3980,3950,3990,3980,48099000
2020-01-13,4000,3990,4030,4030,61913800
2020-01-14,3980,3940,4000,3950,95058600
2020-01-15,3960,3870,3960,3880,147583300
2020-01-16,3890,3830,3890,3850,118903100
2020-01-17,3860,3800,3870,3810,119904100
2020-01-20,3820,3800,3840,3810,73599200
2020-01-21,3810,3810,3900,3890,78014400
2020-01-22,3890,3850,3890,3860,45839800
2020-01-23,3860,3830,3880,3880,41077400
2020-01-24,3880,3860,3930,3920,58524000
2020-01-27,3920,3830,3920,3840,33081800
2020-01-28,3810,3800,3840,3830,56210000
2020-01-29,3840,3840,3900,3900,51929800
2020-01-30,3910,3850,3910,3860,60391600
2020-01-31,3890,3780,3890,3800,120447900
2020-02-03,3800,3730,3820,3740,68360600
2020-02-04,3810,3730,3810,3760,77259600
2020-02-05,3760,3720,3780,3770,68150800
2020-02-06,3800,3750,3800,3760,56261500
2020-02-07,3780,3760,3820,3790,53578900
2020-02-10,3800,3780,3850,3810,86588500
2020-02-11,3810,3780,3830,3790,50248200
2020-02-12,3800,3780,3850,3820,73840300
2020-02-13,3820,3710,3830,3730,66699800
2020-02-14,3680,3640,3730,3640,108793300
2020-02-17,3630,3590,3660,3610,94887800
2020-02-18,3590,3590,3660,3620,94382900
2020-02-19,3620,3590,3640,3620,63717800
2020-02-20,3620,3600,3650,3630,53035400
2020-02-21,3650,3640,3710,3690,86862600
2020-02-24,3670,3630,3720,3640,72610600
2020-02-25,3600,3590,3670,3590,73990700
2020-02-26,3530,3450,3550,3510,133449900
2020-02-27,3510,3420,3550,3470,88389400
2020-02-28,3390,3340,3490,3490,151751800
2020-03-02,3470,3440,3550,3440,96802900
2020-03-03,3510,3470,3660,3620,114698200
2020-03-04,3640,3630,3840,3830,136081000
2020-03-05,3820,3760,3880,3830,101235000
2020-03-06,3730,3710,3790,3750,86476000
2020-03-09,3560,3500,3620,3500,109347300
2020-03-10,3480,3480,3620,3490,119718000
2020-03-11,3470,3370,3480,3400,115486900
2020-03-12,3300,3270,3440,3310,84363800
2020-03-13,3310,3310,3310,3310,0
2020-03-16,3300,3160,3300,3160,115972300
2020-03-17,3160,2940,3160,2940,150122700
2020-03-18,3010,2740,3080,2810,150147300
2020-03-19,2810,2620,2810,2620,138987300
2020-03-20,2660,2450,2990,2880,267694700
2020-03-23,2880,2680,2880,2680,86157200
2020-03-24,2700,2570,2880,2620,243778900
2020-03-25,2700,2570,2880,2620,0
2020-03-26,2550,2550,3080,2980,267369500
2020-03-27,3050,3050,3270,3090,200952500
2020-03-30,3060,2880,3180,3140,134474300
2020-03-31,3180,3120,3300,3160,151302900
2020-04-01,3180,3040,3200,3100,104550600
2020-04-02,3100,3020,3130,3130,92893600
2020-04-03,3150,3120,3220,3200,83469200
2020-04-06,3280,3180,3330,3330,115495000
2020-04-07,3390,3200,3500,3220,166425600
2020-04-08,3220,3050,3220,3110,124553900
2020-04-09,3110,3030,3180,3120,122622400
2020-04-10,3110,3030,3180,3120,0
2020-04-13,3140,3130,3230,3180,45469500
2020-04-14,3200,3160,3250,3240,79114600
2020-04-15,3250,3090,3300,3110,69832000
2020-04-16,3110,3000,3110,3000,109582500
2020-04-17,3050,3050,3250,3230,127860400
2020-04-20,3270,3120,3270,3120,77306900
2020-04-21,3120,3050,3130,3070,43239400
2020-04-22,3050,3030,3270,3160,126278300
2020-04-23,3200,3070,3240,3070,117391500
2020-04-24,3100,3080,3160,3090,84061400
2020-04-27,3120,3100,3200,3150,85475400
2020-04-28,3170,3140,3200,3160,80212700
2020-04-29,3200,3100,3390,3350,154902100
2020-04-30,3400,3350,3540,3500,163170100
2020-05-01,3400,3350,3540,3500,0
2020-05-04,3400,3260,3400,3320,108988600
2020-05-05,3320,3320,3390,3320,74036700
2020-05-06,3300,3220,3340,3240,86395000
2020-05-07,3300,3220,3340,3240,0
2020-05-08,3270,3150,3290,3190,143584400
2020-05-11,3220,3210,3250,3220,58473100
2020-05-12,3270,3100,3270,3150,138978700
2020-05-13,3150,3080,3170,3160,73238700
2020-05-14,3110,3060,3140,3070,101581300
2020-05-15,3100,3020,3130,3100,114753900
2020-05-18,3100,3100,3220,3220,108828800
2020-05-19,3250,3250,3330,3270,97387100
2020-05-20,3200,3180,3260,3180,76086600
2020-05-21,3200,3180,3260,3180,0
2020-05-22,3200,3180,3260,3180,0
2020-05-25,3200,3180,3260,3180,0
2020-05-26,3150,3130,3280,3250,105792900
2020-05-27,3250,3150,3270,3170,128693900
2020-05-28,3180,3130,3210,3130,177385100
2020-05-29,3100,3080,3150,3150,276092100
2020-06-01,3100,3080,3150,3150,0
2020-06-02,3160,3120,3270,3250,174790600
2020-06-03,3280,3230,3320,3290,216200900
2020-06-04,3320,3250,3390,3300,167708600
2020-06-05,3360,3200,3360,3230,188420700
2020-06-08,3250,3220,3290,3230,221641600
2020-06-09,3250,3140,3270,3140,171214500
2020-06-10,3150,3100,3190,3110,263483700
2020-06-11,3120,3060,3150,3080,175767800
2020-06-12,3080,2970,3080,3030,260087300
2020-06-15,3060,3030,3150,3090,241625700
2020-06-16,3150,3130,3220,3200,194424800
2020-06-17,3210,3140,3230,3210,177784900
2020-06-18,3210,3180,3350,3280,235586600
2020-06-19,3300,3250,3340,3280,227358800
2020-06-22,3290,3180,3300,3200,159776500
2020-06-23,3200,3120,3200,3130,167271000
2020-06-24,3150,3140,3230,3180,170895600
2020-06-25,3160,3140,3220,3160,100882600
2020-06-26,3190,3180,3220,3190,100784500
2020-06-29,3200,3160,3250,3180,156613200
2020-06-30,3090,3050,3100,3050,258068400
2020-07-01,3070,3010,3100,3040,148037400
2020-07-02,3040,3040,3140,3140,178357900
2020-07-03,3150,3110,3180,3120,102033100
2020-07-06,3130,3040,3150,3050,248572600
2020-07-07,3060,3050,3120,3120,169104200
2020-07-08,3130,3110,3160,3150,158166300
2020-07-09,3170,3110,3190,3110,125940800
2020-07-10,3110,3100,3130,3110,95422400
2020-07-13,3120,3080,3130,3090,77733900
2020-07-14,3100,3070,3110,3080,111442600
2020-07-15,3120,3080,3130,3090,102304100
2020-07-16,3090,3080,3110,3100,91951000
2020-07-17,3100,3060,3110,3060,112416300
2020-07-20,3080,3040,3080,3060,64735500
2020-07-21,3050,3050,3110,3060,101283800
2020-07-22,3070,3060,3090,3070,69462100
2020-07-23,3070,3060,3090,3070,70482100
2020-07-24,3080,3020,3080,3020,137265100
2020-07-27,3020,3020,3050,3040,58708800
2020-07-28,3050,3010,3050,3020,102705300
2020-07-29,3030,3000,3050,3000,114352000
2020-07-30,3040,3000,3050,3050,95785000
2020-07-31,3040,3000,3050,3050,0
2020-08-03,3060,2850,3060,2920,255659800
2020-08-04,2970,2920,2970,2950,96018000
2020-08-05,2960,2920,3040,3020,120719100
2020-08-06,3050,3000,3050,3020,71699000
2020-08-07,3020,2970,3030,2980,78347200
2020-08-10,3000,2970,3020,2970,65485400
2020-08-11,2980,2930,3000,2930,175693000
2020-08-12,2930,2920,2960,2950,110934800
2020-08-13,2950,2950,3020,3010,160906600
2020-08-14,3020,3000,3040,3030,93007500
2020-08-17,3020,3000,3040,3030,0
2020-08-18,3030,3000,3060,3050,139358500
2020-08-19,3050,3000,3050,3000,103980600
2020-08-20,3050,3000,3050,3000,0
2020-08-21,3050,3000,3050,3000,0
2020-08-24,3010,2990,3020,3000,76713900
2020-08-25,3010,2980,3010,2980,100013600
2020-08-26,2980,2980,3050,3020,122465300
2020-08-27,3020,2970,3040,2990,102787800
2020-08-28,2990,2940,2990,2960,160569500
2020-08-31,2960,2860,2980,2860,204261100
2020-09-01,2900,2860,2910,2900,90565400
2020-09-02,2900,2900,2970,2950,107589800
2020-09-03,2950,2880,2960,2900,123106100
2020-09-04,2850,2840,2890,2860,143569100
2020-09-07,2870,2870,2910,2900,62206600
2020-09-08,2890,2860,2900,2860,80068200
2020-09-09,2850,2800,2860,2800,108397400
2020-09-10,2800,2620,2800,2700,287496300
2020-09-11,2670,2650,2840,2810,197756800
2020-09-14,2830,2820,2890,2890,127562700
2020-09-15,2890,2810,2900,2830,106215900
2020-09-16,2810,2770,2830,2790,68113400
2020-09-17,2810,2780,2850,2820,97257400
2020-09-18,2850,2840,2890,2890,162116700
2020-09-21,2890,2800,2910,2810,100305100
2020-09-22,2790,2750,2810,2780,75891600
2020-09-23,2770,2740,2810,2800,85953300
2020-09-24,2750,2710,2760,2730,74516800
2020-09-25,2720,2670,2740,2690,180968900
2020-09-28,2710,2660,2730,2660,89256700
2020-09-29,2690,2630,2690,2630,155853900
2020-09-30,2630,2540,2650,2560,235611600
2020-10-01,2600,2600,2760,2750,225006000
2020-10-02,2750,2650,2750,2680,140161900
2020-10-05,2690,2640,2710,2650,124720200
2020-10-06,2680,2620,2700,2650,148977400
2020-10-07,2650,2620,2670,2660,110186000
